"Distance [mm]","Ft [] - Time='0s'"
0,-488.188461462045
0.112854975829305,-565.055009257004
0.22570995165861,-643.501170195443
0.338564927487915,-723.489050742459
0.45141990331722,-803.644841820194
0.564274879146525,-885.094484343599
0.677129854975829,-966.298068183805
0.789984830805134,-1047.63533834179
0.902839806634439,-1129.90059705142
1.01569478246374,-1211.93826399398
1.12854975829305,-1295.40692969504
1.24140473412235,-1378.57716904496
1.35425970995166,-1462.02475542215
1.46711468578096,-1545.66684867843
1.57996966161027,-1629.33103093429
1.69282463743957,-1714.47885259845
1.80567961326888,-1798.36110388046
1.91853458909818,-1883.3151076367
2.03138956492749,-1967.3300089699
2.14424454075679,-2052.60778475015
2.2570995165861,-2136.66080004528
2.3699544924154,-2221.41811996149
2.48280946824471,-2304.53862522634
2.59566444407401,-2386.98309649086
2.70851941990332,-2469.85569287892
2.82137439573262,-2552.60478332261
2.93422937156193,-2633.24194451627
3.04708434739123,-2713.25849401053
3.15993932322054,-2793.04364515912
3.27279429904984,-2870.51514176968
3.38564927487915,-2945.3622129631
3.49850425070845,-3019.53820260103
3.61135922653776,-3088.44210731177
3.72421420236706,-3158.70253223495
3.83706917819637,-3228.31558922944
3.94992415402567,-3293.40518794832
4.06277912985498,-3360.69053571914
4.17563410568428,-3422.31505478409
4.28848908151359,-3482.95592056335
4.40134405734289,-3537.21912168172
4.5141990331722,-3592.18201077684
4.6270540090015,-3643.88178064148
4.7399089848308,-3691.39638829674
4.85276396066011,-3733.40813446902
4.96561893648941,-3772.37648491589
5.07847391231872,-3807.73520052446
5.19132888814802,-3838.53609718187
5.30418386397733,-3863.13063707748
5.41703883980663,-3882.96885259202
5.52989381563594,-3899.19676095138
5.64274879146524,-3910.28114111696
5.75560376729455,-3914.23930747388
5.86845874312385,-3913.41088969409
5.98131371895316,-3908.27923224334
6.09416869478246,-3896.80502043453
6.20702367061177,-3880.42573314643
6.31987864644107,-3859.61084610938
6.43273362227038,-3834.3633040325
6.54558859809968,-3806.26335973253
6.65844357392899,-3772.5963620065
6.77129854975829,-3735.15711240307
6.8841535255876,-3695.35153907636
6.9970085014169,-3651.78366713147
7.10986347724621,-3604.91741709189
7.22271845307551,-3555.25562427766
7.33557342890482,-3509.29891687731
7.44842840473412,-3462.08652282289
7.56128338056343,-3411.67032897181
7.67413835639273,-3364.04188599462
7.78699333222204,-3316.52396514653
7.89984830805134,-3268.99609734052
8.01270328388065,-3223.65698329534
8.12555825970995,-3178.39383421101
8.23841323553926,-3135.3685775494
8.35126821136856,-3092.07352002017
8.46412318719787,-3051.27342781442
8.57697816302717,-3012.63468480691
8.68983313885647,-2976.17346731666
8.80268811468578,-2946.4920326153
8.91554309051508,-2914.84604967145
9.02839806634439,-2880.80361162449
9.14125304217369,-2856.57588486338
9.254108018003,-2832.47908357714
9.36696299383231,-2808.75007288885
9.47981796966161,-2788.72085106584
9.59267294549091,-2770.60367934398
9.70552792132022,-2756.01914560747
9.81838289714953,-2742.0545193427
9.93123787297883,-2730.00095999191
10.0440928488081,-2721.84871713999
10.1569478246374,-2718.20683516945
10.2698028004667,-2714.93765930911
10.382657776296,-2712.76138306604
10.4955127521254,-2714.21715963902
10.6083677279547,-2716.19145881646
10.721222703784,-2719.5627691597
10.8340776796133,-2730.6130542045
10.9469326554426,-2740.95390281461
11.0597876312719,-2756.39789300317
11.1726426071012,-2772.66745482503
11.2854975829305,-2789.64855406092
11.3983525587598,-2812.85764056757
11.5112075345891,-2836.01212213011
11.6240625104184,-2861.49414064682
11.7369174862477,-2892.70858364596
11.849772462077,-2925.71237961749
11.9626274379063,-2958.95601744045
12.0754824137356,-2993.90776069027
12.1883373895649,-3032.57249527101
12.3011923653942,-3074.17191052352
12.4140473412235,-3117.68142063747
12.5269023170528,-3161.01054663563
12.6397572928821,-3208.6883256909
12.7526122687115,-3256.61525794494
12.8654672445408,-3307.70758430467
12.9783222203701,-3362.20303117643
13.0911771961994,-3416.81681216424
13.2040321720287,-3473.00400387779
13.316887147858,-3534.77998142969
13.4297421236873,-3593.94153851051
13.5425970995166,-3657.64765255085
13.6554520753459,-3725.22636930444
13.7683070511752,-3790.29193531765
13.8811620270045,-3858.6195661274
13.9940170028338,-3929.88081438091
14.1068719786631,-4001.87780701823
14.2197269544924,-4077.03928093583
14.3325819303217,-4154.71844074885
14.445436906151,-4237.05483489961
14.5582918819803,-4321.61081349396
14.6711468578096,-4406.1281760142
14.7840018336389,-4496.48117701496
14.8968568094682,-4586.59235265793
15.0097117852975,-4678.47352173457
15.1225667611269,-4775.7259381706
15.2354217369562,-4872.32063391434
15.3482767127855,-4971.9266767917
15.4611316886148,-5074.95341576679
15.5739866644441,-5175.80439014112
15.6868416402734,-5286.45632297183
15.7996966161027,-5392.52892853362
15.912551591932,-5502.32978553473
16.0254065677613,-5612.79998434316
16.1382615435906,-5725.26128588184
16.2511165194199,-5840.64817003033
16.3639714952492,-5959.43871364968
16.4768264710785,-6072.97617292416
16.5896814469078,-6195.52971330385
16.7025364227371,-6311.73503557438
16.8153913985664,-6430.54833179922
16.9282463743957,-6551.64043917037
17.041101350225,-6675.12217332464
17.1539563260543,-6795.24766182419
17.2668113018836,-6919.9774832928
17.3796662777129,-7035.29662785278
17.4925212535423,-7158.17270300413
17.6053762293716,-7276.42462479779
17.7182312052009,-7389.61729361131
17.8310861810302,-7504.41014101643
17.9439411568595,-7617.84449429055
18.0567961326888,-7730.05636483709
18.1696511085181,-7839.27840980199
18.2825060843474,-7952.28385415418
18.3953610601767,-8048.69317676592
18.508216036006,-8147.15994769908
18.6210710118353,-8244.85779549185
18.7339259876646,-8343.16527671733
18.8467809634939,-8429.2884016669
18.9596359393232,-8513.91806462815
19.0724909151525,-8588.8817891473
19.1853458909818,-8657.71607205281
19.2982008668111,-8722.4233142884
19.4110558426404,-8781.71987530128
19.5239108184697,-8836.39700179547
19.6367657942991,-8877.63980333641
19.7496207701284,-8910.08691360845
19.8624757459577,-8936.89504249043
19.975330721787,-8958.51736935692
20.0881856976163,-8969.67364395653
20.2010406734456,-8969.96234907537
20.3138956492749,-8965.08443122323
20.4267506251042,-8953.51567192969
20.5396056009335,-8934.40814584393
20.6524605767628,-8911.99915691819
20.7653155525921,-8876.94055218223
20.8781705284214,-8837.89730605554
20.9910255042507,-8796.869025272
21.10388048008,-8743.6004319484
21.2167354559093,-8686.9562687342
21.3295904317386,-8627.55135300812
21.4424454075679,-8564.42451800442
21.5553003833972,-8496.97452373258
21.6681553592265,-8425.32994166657
21.7810103350558,-8354.37367774648
21.8938653108851,-8279.88619395949
22.0067202867145,-8206.92246403525
22.1195752625438,-8130.32583740485
22.2324302383731,-8048.98320082417
22.3452852142024,-7971.89484176625
22.4581401900317,-7886.1954639477
22.570995165861,-7806.27987884993
22.6838501416903,-7726.92645948751
22.7967051175196,-7649.81182527268
22.9095600933489,-7564.21150626601
23.0224150691782,-7488.80346865628
23.1352700450075,-7405.55790132009
23.2481250208368,-7328.60132125997
23.3609799966661,-7251.49548025107
23.4738349724954,-7179.24677624944
23.5866899483247,-7100.39232068017
23.699544924154,-7028.84609639017
23.8123998999833,-6967.42579754982
23.9252548758126,-6896.13411087404
24.0381098516419,-6832.88541715148
24.1509648274712,-6767.43807799083
24.2638198033005,-6705.89574133419
24.3766747791299,-6648.70261758132
24.4895297549592,-6592.12321727823
24.6023847307885,-6541.0450098033
24.7152397066178,-6489.23106211232
24.8280946824471,-6442.26967000169
24.9409496582764,-6400.7111845197
25.0538046341057,-6360.18956839109
25.166659609935,-6323.6247827599
25.2795145857643,-6289.84463294623
25.3923695615936,-6265.1724867838
25.5052245374229,-6235.64115251312
25.6180795132522,-6215.86752043568
25.7309344890815,-6198.99987169227
25.8437894649108,-6187.17434412325
25.9566444407401,-6178.93580785544
26.0694994165694,-6175.39369042584
26.1823543923987,-6172.01970208201
26.295209368228,-6175.19446111482
26.4080643440573,-6181.32168033435
26.5209193198866,-6189.58300871249
26.633774295716,-6200.51388949232
26.7466292715453,-6219.24975191815
26.8594842473746,-6239.02738217399
26.9723392232039,-6259.41540453373
27.0851941990332,-6284.97915555796
27.1980491748625,-6318.80782337901
27.3109041506918,-6352.74278146057
27.4237591265211,-6391.40364338287
27.5366141023504,-6427.79303154263
27.6494690781797,-6476.47447635877
27.762324054009,-6521.66496492013
27.8751790298383,-6573.96262879461
27.9880340056676,-6629.02075021405
28.1008889814969,-6686.21115595317
28.2137439573262,-6749.28929224615
28.3265989331555,-6811.14447599508
28.4394539089848,-6887.1418810496
28.5523088848141,-6962.58098038113
28.6651638606434,-7040.1910304685
28.7780188364727,-7122.44036949804
28.8908738123021,-7212.62217699348
29.0037287881314,-7303.8249739889
29.1165837639607,-7403.49200166603
29.22943873979,-7502.29446041804
29.3422937156193,-7600.24087005927
29.4551486914486,-7705.0868760015
29.5680036672779,-7815.17658358339
29.6808586431072,-7928.15027183743
29.7937136189365,-8046.94189386267
29.9065685947658,-8161.67941779658
30.0194235705951,-8283.4569150321
30.1322785464244,-8410.21021955941
30.2451335222537,-8536.58795602906
30.357988498083,-8668.70871294755
30.4708434739123,-8804.36296606086
30.5836984497416,-8944.99978625197
30.6965534255709,-9076.70571015722
30.8094084014002,-9216.96358830826
30.9222633772295,-9355.12501596192
31.0351183530588,-9500.45632883767
31.1479733288881,-9643.52524057595
31.2608283047174,-9791.48568941806
31.3736832805468,-9932.79433310151
31.4865382563761,-10079.8177090295
31.5993932322054,-10225.000286324
31.7122482080347,-10371.2749355908
31.825103183864,-10509.0481726735
31.9379581596933,-10648.482028444
32.0508131355226,-10789.3051271196
32.1636681113519,-10935.811673811
32.2765230871812,-11070.9724054721
32.3893780630105,-11196.0240466945
32.5022330388398,-11323.1698477788
32.6150880146691,-11447.5159170122
32.7279429904984,-11569.866043757
32.8407979663277,-11691.1326607091
32.953652942157,-11799.2326639998
33.0665079179863,-11902.8258578148
33.1793628938156,-11987.9528057689
33.2922178696449,-12074.374941894
33.4050728454742,-12157.0896643409
33.5179278213036,-12233.660416059
33.6307827971329,-12296.6388064844
33.7436377729622,-12348.0430553742
33.8564927487915,-12388.3821379271
33.9693477246208,-12427.4532711697
34.0822027004501,-12451.186572307
34.1950576762794,-12465.0062163677
34.3079126521087,-12470.7676731792
34.420767627938,-12464.511662586
34.5336226037673,-12439.8863165939
34.6464775795966,-12417.4622199016
34.7593325554259,-12383.3625709774
34.8721875312552,-12343.6655432192
34.9850425070845,-12297.9035087741
35.0978974829138,-12236.2930508589
35.2107524587431,-12167.0407301782
35.3236074345724,-12092.2848205759
35.4364624104017,-12013.5146157761
35.549317386231,-11926.4786699477
35.6621723620603,-11844.1650830978
35.7750273378896,-11744.3525572962
35.8878823137189,-11656.3455741828
36.0007372895483,-11550.9192614343
36.1135922653776,-11447.4986914234
36.2264472412069,-11328.6318035717
36.3393022170362,-11218.118807781
36.4521571928655,-11112.1951808407
36.5650121686948,-10986.3896253574
36.6778671445241,-10874.7109195992
36.7907221203534,-10755.0356167033
36.9035770961827,-10622.858640049
37.016432072012,-10510.5626273124
37.1292870478413,-10385.2009519115
37.2421420236706,-10264.2814378154
37.3549969994999,-10141.7144183261
37.4678519753292,-10018.3771349372
37.5807069511585,-9899.00729273295
37.6935619269878,-9783.22828610963
37.8064169028171,-9675.46162543946
37.9192718786464,-9556.03769447899
38.0321268544757,-9440.2610468204
38.144981830305,-9336.56832047022
38.2578368061344,-9224.26432797537
38.3706917819637,-9120.96114822522
38.483546757793,-9023.73549672947
38.5964017336223,-8918.71746997366
38.7092567094516,-8827.17701338342
38.8221116852809,-8729.78612292671
38.9349666611102,-8640.36593155029
39.0478216369395,-8558.01991129922
39.1606766127688,-8487.86175258042
39.2735315885981,-8400.53072345736
39.3863865644274,-8334.45235468047
39.4992415402567,-8264.21977164661
39.612096516086,-8204.06413101266
39.7249514919153,-8152.07592535928
39.8378064677446,-8088.59682995094
39.9506614435739,-8044.75946455793
40.0635164194032,-7997.83854521387
40.1763713952325,-7967.27113917101
40.2892263710618,-7921.9667332041
40.4020813468911,-7898.59973333978
40.5149363227205,-7866.24634148856
40.6277912985498,-7850.08764909587
40.7406462743791,-7830.81702519594
40.8535012502084,-7816.09757087446
40.9663562260377,-7806.3492982605
41.079211201867,-7804.66565525231
41.1920661776963,-7810.24458927196
41.3049211535256,-7808.45403192629
41.4177761293549,-7812.39425501885
41.5306311051842,-7826.77548179411
41.6434860810135,-7849.5461488589
41.7563410568428,-7867.13999495733
41.8691960326721,-7884.97631078341
41.9820510085014,-7929.65718899567
42.0949059843307,-7970.0281118482
42.20776096016,-8001.28211790705
42.3206159359893,-8052.69595470574
42.4334709118186,-8104.36777846225
42.5463258876479,-8151.90722170158
42.6591808634772,-8219.92887635056
42.7720358393066,-8285.66694205002
42.8848908151359,-8356.58086249776
42.9977457909652,-8423.1636540734
43.1106007667945,-8511.50209022475
43.2234557426238,-8588.27744661498
43.3363107184531,-8678.55754305337
43.4491656942824,-8769.96862853065
43.5620206701117,-8859.48962899418
43.674875645941,-8962.48173909621
43.7877306217703,-9065.5499421868
43.9005855975996,-9172.11590385446
44.0134405734289,-9280.41440414929
44.1262955492582,-9402.61453003666
44.2391505250875,-9518.379757741
44.3520055009168,-9645.95545555448
44.4648604767461,-9767.3502037541
44.5777154525754,-9894.28709839356
44.6905704284047,-10023.0612645027
44.803425404234,-10160.2048020581
44.9162803800633,-10290.9031215395
45.0291353558926,-10434.1766517284
45.141990331722,-10574.5583728924
45.2548453075513,-10723.35548627
45.3677002833806,-10857.8780953099
45.4805552592099,-11006.1931406794
45.5934102350392,-11147.1401994167
45.7062652108685,-11296.1969160613
45.8191201866978,-11430.0081849878
45.9319751625271,-11575.8907414706
46.0448301383564,-11717.2505011337
46.1576851141857,-11855.4138438548
46.270540090015,-11987.7195036222
46.3833950658443,-12126.9362585897
46.4962500416736,-12242.7627060144
46.6091050175029,-12366.0130965082
46.7219599933322,-12486.9732502218
46.8348149691615,-12606.8379019194
46.9476699449908,-12712.9921615397
47.0605249208201,-12819.1756283445
47.1733798966494,-12912.8620545958
47.2862348724787,-13000.5716531018
47.399089848308,-13076.2115202492
47.5119448241374,-13152.7268325328
47.6247997999667,-13203.7336916874
47.737654775796,-13259.7833947372
47.8505097516253,-13302.9922899979
47.9633647274546,-13334.6743346645
48.0762197032839,-13351.446345383
48.1890746791132,-13356.3674907813
48.3019296549425,-13354.4072553711
48.4147846307718,-13342.5070751489
48.5276396066011,-13317.6824903799
48.6404945824304,-13282.4478669525
48.7533495582597,-13239.8724499773
48.866204534089,-13180.8586836664
48.9790595099183,-13130.8921787191
49.0919144857476,-13047.1469473865
49.2047694615769,-12973.7162519754
49.3176244374062,-12881.5925479015
49.4304794132355,-12781.8007036896
49.5433343890648,-12679.7576104917
49.6561893648941,-12575.8093589583
49.7690443407235,-12455.4131897618
49.8818993165528,-12337.0085867704
49.9947542923821,-12206.1811273438
50.1076092682114,-12075.3775432606
50.2204642440407,-11947.2086020448
50.33331921987,-11806.8878122176
50.4461741956993,-11661.6046201389
50.5590291715286,-11516.7021017144
50.6718841473579,-11379.3069230783
50.7847391231872,-11224.8252351714
50.8975940990165,-11063.0748912207
51.0104490748458,-10908.7563302004
51.1233040506751,-10761.5501769945
51.2361590265044,-10604.4400533782
51.3490140023337,-10448.4441502859
51.461868978163,-10292.0258057068
51.5747239539923,-10136.1741295775
51.6875789298216,-9982.27902344285
51.8004339056509,-9829.97649028358
51.9132888814802,-9679.01359624528
52.0261438573095,-9534.14888631122
52.1389988331389,-9391.72823491372
52.2518538089682,-9247.04903482926
52.3647087847975,-9106.15805678448
52.4775637606268,-8966.32810025844
52.5904187364561,-8833.87498816987
52.7032737122854,-8702.04066471624
52.8161286881147,-8571.85916733818
52.928983663944,-8448.49578589701
53.0418386397733,-8327.67631593446
53.1546936156026,-8213.7814142765
53.2675485914319,-8102.76903650396
53.3804035672612,-7987.43601268426
53.4932585430905,-7886.33549453248
53.6061135189198,-7785.79786718215
53.7189684947491,-7690.70762252833
53.8318234705784,-7602.91671204771
53.9446784464077,-7514.7006078001
54.057533422237,-7432.47857213096
54.1703883980663,-7355.05811610328
54.2832433738956,-7280.16998124708
54.3960983497249,-7210.04863975333
54.5089533255543,-7145.68257258927
54.6218083013836,-7084.84714173124
54.7346632772129,-7029.57869738153
54.8475182530422,-6974.92978795504
54.9603732288715,-6928.96170841419
55.0732282047008,-6890.07194308394
55.1860831805301,-6843.50891268795
55.2989381563594,-6810.0141918533
55.4117931321887,-6784.48001815894
55.524648108018,-6749.23821931214
55.6375030838473,-6727.20977588604
55.7503580596766,-6715.75407860193
55.8632130355059,-6699.63962067656
55.9760680113352,-6679.1406239512
56.0889229871645,-6676.23618364511
56.2017779629938,-6674.27475267037
56.3146329388231,-6685.40870639159
56.4274879146524,-6677.51280632873
56.5403428904817,-6690.31725451
56.653197866311,-6708.99603073665
56.7660528421404,-6731.05655957099
56.8789078179697,-6753.22233499054
56.991762793799,-6774.57942288415
57.1046177696283,-6813.02868621897
57.2174727454576,-6846.55894611807
57.3303277212869,-6880.92360136428
57.4431826971162,-6930.2324806362
57.5560376729455,-6977.74941006567
57.6688926487748,-7025.27939010203
57.7817476246041,-7083.90747688179
57.8946026004334,-7141.657174845
58.0074575762627,-7196.01251401071
58.120312552092,-7258.26065544545
58.2331675279213,-7329.58977045059
58.3460225037506,-7395.55290907748
58.4588774795799,-7472.58072533657
58.5717324554092,-7547.20027050776
58.6845874312385,-7626.43836278209
58.7974424070678,-7709.46449282936
58.9102973828971,-7789.88083230966
59.0231523587264,-7868.85982506205
59.1360073345558,-7956.01642920327
59.2488623103851,-8038.1342727566
59.3617172862144,-8128.02199563714
59.4745722620437,-8218.02988544571
59.587427237873,-8312.88707031898
59.7002822137023,-8389.38002520292
59.8131371895316,-8481.35595319339
59.9259921653609,-8567.42085097383
60.0388471411902,-8647.63037526075
60.1517021170195,-8733.47382757755
60.2645570928488,-8815.62941450947
60.3774120686781,-8886.67858598057
60.4902670445074,-8966.54139638281
60.6031220203367,-9025.49413233224
60.715976996166,-9097.02479243723
60.8288319719953,-9155.34733100995
60.9416869478246,-9211.09684130526
61.0545419236539,-9270.44627129742
61.1673968994833,-9313.02069341423
61.2802518753126,-9348.76310629509
61.3931068511419,-9380.75370345623
61.5059618269712,-9399.89182697807
61.6188168028005,-9412.76167453222
61.7316717786298,-9418.67664836949
61.8445267544591,-9412.33900771412
61.9573817302884,-9398.83312215096
62.0702367061177,-9374.45950711768
62.183091681947,-9337.8266448921
62.2959466577763,-9293.17996772877
62.4088016336056,-9240.9283647389
62.5216566094349,-9178.26159659132
62.6345115852642,-9104.48848104126
62.7473665610935,-9021.78770974463
62.8602215369228,-8927.55382286984
62.9730765127521,-8836.9374979735
63.0859314885814,-8726.91360649061
63.1987864644107,-8611.49257213982
