"Distance [mm]","Bt [] - Time='0s'"
0,-0.00254293106831571
0.112854975829305,-0.00294276353583142
0.22570995165861,-0.00335129740336836
0.338564927487915,-0.00376796913831945
0.45141990331722,-0.00418555153332518
0.564274879146525,-0.00461007332959745
0.677129854975829,-0.00503333381774247
0.789984830805134,-0.0054573964436971
0.902839806634439,-0.00588648922995441
1.01569478246374,-0.00631453226598679
1.12854975829305,-0.00675019553422582
1.24140473412235,-0.00718458558152842
1.35425970995166,-0.00762067876904404
1.46711468578096,-0.00805806694094798
1.57996966161027,-0.00849591337188043
1.69282463743957,-0.00894181968497198
1.80567961326888,-0.00938146150079998
1.91853458909818,-0.00982710283874604
2.03138956492749,-0.0102683127715637
2.14424454075679,-0.0107166352943013
2.2570995165861,-0.0111587771358782
2.3699544924154,-0.0116056065308803
2.48280946824471,-0.0120443401353078
2.59566444407401,-0.0124803413463697
2.70851941990332,-0.0129190321131526
2.82137439573262,-0.0133577374110458
2.93422937156193,-0.0137862659675643
3.04708434739123,-0.0142122465442237
3.15993932322054,-0.0146378194613813
3.27279429904984,-0.0150522004752253
3.38564927487915,-0.0154539027054606
3.49850425070845,-0.015852967421942
3.61135922653776,-0.0162256162343341
3.72421420236706,-0.0166065976475485
3.83706917819637,-0.0169853768186692
3.94992415402567,-0.0173414130952862
4.06277912985498,-0.0177090841623408
4.17563410568428,-0.0180487260095304
4.28848908151359,-0.0183840034175154
4.40134405734289,-0.018687846415049
4.5141990331722,-0.0189955665148225
4.6270540090015,-0.019287185486741
4.7399089848308,-0.019557447130873
4.85276396066011,-0.0197996302324459
4.96561893648941,-0.0200263702856524
5.07847391231872,-0.0202349698072705
5.19132888814802,-0.0204203567646687
5.30418386397733,-0.0205728656698215
5.41703883980663,-0.0207006574344812
5.52989381563594,-0.020809780284407
5.64274879146524,-0.0208915255752968
5.75560376729455,-0.0209351969893218
5.86845874312385,-0.0209530052706708
5.98131371895316,-0.0209476602797771
6.09416869478246,-0.0209073136860677
6.20702367061177,-0.0208402305708603
6.31987864644107,-0.0207483726278982
6.43273362227038,-0.0206321893458192
6.54558859809968,-0.0204995224446412
6.65844357392899,-0.0203354710477626
6.77129854975829,-0.020149953332209
6.8841535255876,-0.019949879361281
6.9970085014169,-0.0197285599504679
7.10986347724621,-0.0194880695320295
7.22271845307551,-0.0192323289745345
