"Distance [mm]","Ft [] - Time='0s'"
0,-482.323409551094
0.112854975829305,-522.366383480025
0.22570995165861,-563.882600486798
0.338564927487915,-606.262815746932
0.45141990331722,-649.685362321124
0.564274879146525,-693.230375398448
0.677129854975829,-737.096248668182
0.789984830805134,-781.145243810492
0.902839806634439,-825.860273650237
1.01569478246374,-870.925045979974
1.12854975829305,-915.858288841391
1.24140473412235,-960.905151213276
1.35425970995166,-1006.33139699647
1.46711468578096,-1052.03109506002
1.57996966161027,-1097.4835146838
1.69282463743957,-1142.92509874971
1.80567961326888,-1188.95611458971
1.91853458909818,-1234.51893068979
2.03138956492749,-1280.18274236953
2.14424454075679,-1324.93217108915
2.2570995165861,-1370.10855655855
2.3699544924154,-1414.37267260349
2.48280946824471,-1459.00749380705
2.59566444407401,-1501.44147885519
2.70851941990332,-1544.92756123746
2.82137439573262,-1586.85085600819
2.93422937156193,-1627.84701704143
3.04708434739123,-1667.94634169965
3.15993932322054,-1706.72455979663
3.27279429904984,-1744.36620629818
3.38564927487915,-1781.18943087615
3.49850425070845,-1814.57448117312
3.61135922653776,-1845.14315892523
3.72421420236706,-1875.63002873744
3.83706917819637,-1906.00507246988
3.94992415402567,-1934.7869722355
4.06277912985498,-1961.97924647837
4.17563410568428,-1988.04689255503
4.28848908151359,-2011.15512512901
4.40134405734289,-2029.50904401612
4.5141990331722,-2048.75857871776
4.6270540090015,-2065.88222149907
4.7399089848308,-2079.35405264392
4.85276396066011,-2089.91281006045
4.96561893648941,-2097.66214015816
5.07847391231872,-2103.69525864871
5.19132888814802,-2105.430796623
5.30418386397733,-2101.84716431541
5.41703883980663,-2097.11819266524
5.52989381563594,-2090.87805105992
5.64274879146524,-2078.42437201548
5.75560376729455,-2062.41978570956
5.86845874312385,-2044.11362805416
5.98131371895316,-2021.74464416759
6.09416869478246,-1995.51613187135
6.20702367061177,-1967.15034718916
6.31987864644107,-1935.42593611294
6.43273362227038,-1901.7274172671
6.54558859809968,-1864.62189780883
6.65844357392899,-1827.84676994039
6.77129854975829,-1787.54649153022
6.8841535255876,-1744.62561135203
6.9970085014169,-1700.98207566571
7.10986347724621,-1656.48336437449
7.22271845307551,-1614.96249927247
7.33557342890482,-1574.07625149131
7.44842840473412,-1531.86258660156
7.56128338056343,-1494.16964101358
7.67413835639273,-1455.52775920743
7.78699333222204,-1420.36586824021
7.89984830805134,-1387.2420774666
8.01270328388065,-1358.81010177026
8.12555825970995,-1330.90981518182
8.23841323553926,-1306.66270467188
8.35126821136856,-1286.79904521951
8.46412318719787,-1269.12054550369
8.57697816302717,-1256.71878140696
8.68983313885647,-1249.26689418806
8.80268811468578,-1241.37137660793
8.91554309051508,-1239.28268908621
9.02839806634439,-1241.91227735098
9.14125304217369,-1244.15511801888
9.254108018003,-1253.80261907521
9.36696299383231,-1264.39433497234
9.47981796966161,-1276.72528212066
9.59267294549091,-1295.84869766213
9.70552792132022,-1316.54621949287
9.81838289714953,-1337.54106741689
9.93123787297883,-1367.04118784352
10.0440928488081,-1395.64222245718
10.1569478246374,-1430.1062959754
10.2698028004667,-1462.93844627588
10.382657776296,-1499.91440495397
10.4955127521254,-1538.5859599485
10.6083677279547,-1580.47719579063
10.721222703784,-1622.87138061278
10.8340776796133,-1670.88812562686
10.9469326554426,-1721.85143718605
11.0597876312719,-1775.40582081499
11.1726426071012,-1830.2918957481
11.2854975829305,-1891.07876759852
11.3983525587598,-1948.91649240798
11.5112075345891,-2011.54534987009
11.6240625104184,-2077.1095062956
11.7369174862477,-2145.55290845078
11.849772462077,-2216.54713900578
11.9626274379063,-2287.95903120109
12.0754824137356,-2362.44274167651
12.1883373895649,-2438.89897573529
12.3011923653942,-2516.48326552069
12.4140473412235,-2596.46175015106
12.5269023170528,-2678.14785267713
12.6397572928821,-2762.2882320587
12.7526122687115,-2848.73329421618
12.8654672445408,-2934.72290551525
12.9783222203701,-3024.16224047715
13.0911771961994,-3118.82723069373
13.2040321720287,-3213.2705114195
13.316887147858,-3308.08364476793
13.4297421236873,-3404.38115344307
13.5425970995166,-3504.55856160153
13.6554520753459,-3603.47903102413
13.7683070511752,-3708.28837779204
13.8811620270045,-3811.90196974781
13.9940170028338,-3918.99635035084
14.1068719786631,-4028.78986315917
14.2197269544924,-4135.72978236001
14.3325819303217,-4249.5583900065
14.445436906151,-4368.98930491361
14.5582918819803,-4488.30998343089
14.6711468578096,-4612.61132536376
14.7840018336389,-4736.69322386228
14.8968568094682,-4862.68102795755
15.0097117852975,-4991.01020923682
15.1225667611269,-5125.01420812174
15.2354217369562,-5258.08212341105
15.3482767127855,-5393.95267692349
15.4611316886148,-5533.83855603458
15.5739866644441,-5673.97050301334
15.6868416402734,-5820.73885836285
15.7996966161027,-5961.14360299195
15.912551591932,-6111.17354196778
16.0254065677613,-6258.8283572541
16.1382615435906,-6410.18083773988
16.2511165194199,-6563.43699771332
16.3639714952492,-6720.60654375201
16.4768264710785,-6869.83268930469
16.5896814469078,-7032.70745442875
16.7025364227371,-7180.26367939002
16.8153913985664,-7339.52315075165
16.9282463743957,-7501.52610353573
17.041101350225,-7659.06227410306
17.1539563260543,-7818.5579708636
17.2668113018836,-7979.36309614757
17.3796662777129,-8138.98328244217
17.4925212535423,-8293.52881832576
17.6053762293716,-8442.4645653812
17.7182312052009,-8595.65633333878
17.8310861810302,-8746.41572504764
17.9439411568595,-8894.61433061613
18.0567961326888,-9042.01110219325
18.1696511085181,-9194.98565177031
18.2825060843474,-9336.23962185717
18.3953610601767,-9460.77603865247
18.508216036006,-9595.2374752505
18.6210710118353,-9719.40571012252
18.7339259876646,-9849.45456863986
18.8467809634939,-9962.26024499462
18.9596359393232,-10072.3498218943
19.0724909151525,-10170.4987980427
19.1853458909818,-10262.3511091219
19.2982008668111,-10349.9777015456
19.4110558426404,-10428.8719813619
19.5239108184697,-10497.2314886016
19.6367657942991,-10558.7857391228
19.7496207701284,-10606.2387938686
19.8624757459577,-10646.8342600671
19.975330721787,-10678.0960483714
20.0881856976163,-10697.4359945194
20.2010406734456,-10704.5774270765
20.3138956492749,-10709.236956237
20.4267506251042,-10700.8212473138
20.5396056009335,-10683.5981158775
20.6524605767628,-10654.5537688891
20.7653155525921,-10620.9816541142
20.8781705284214,-10579.5903689684
20.9910255042507,-10532.4327248717
21.10388048008,-10468.8162390362
21.2167354559093,-10401.5596610305
21.3295904317386,-10334.3118717058
21.4424454075679,-10257.4618070096
21.5553003833972,-10176.5526459817
21.6681553592265,-10088.591182718
21.7810103350558,-10002.0443641266
21.8938653108851,-9908.32348667519
22.0067202867145,-9814.25669939003
22.1195752625438,-9720.24682885735
22.2324302383731,-9614.48975970511
22.3452852142024,-9509.33370120331
22.4581401900317,-9404.90059253469
22.570995165861,-9301.69061116618
22.6838501416903,-9194.75812544885
22.7967051175196,-9083.29958428879
22.9095600933489,-8976.78291696678
23.0224150691782,-8865.82588687547
23.1352700450075,-8758.24825774839
23.2481250208368,-8649.54445995701
23.3609799966661,-8539.97311617188
23.4738349724954,-8435.74775448936
23.5866899483247,-8325.16692432656
23.699544924154,-8225.02507460839
23.8123998999833,-8121.06184165614
23.9252548758126,-8020.61769825705
24.0381098516419,-7926.87571163166
24.1509648274712,-7828.25335993115
24.2638198033005,-7733.77893230797
24.3766747791299,-7643.32167574017
24.4895297549592,-7555.43006477242
24.6023847307885,-7466.75965863543
24.7152397066178,-7385.48666155489
24.8280946824471,-7300.50221946085
24.9409496582764,-7229.5650247146
25.0538046341057,-7154.66436943587
25.166659609935,-7084.86149924376
25.2795145857643,-7027.08463984821
25.3923695615936,-6965.69321272645
25.5052245374229,-6905.12572234624
25.6180795132522,-6852.55756024826
25.7309344890815,-6808.45759579804
25.8437894649108,-6765.36678459395
25.9566444407401,-6724.98900549
26.0694994165694,-6688.30481582588
26.1823543923987,-6652.80746482838
26.295209368228,-6624.48819349724
26.4080643440573,-6598.4501827829
26.5209193198866,-6580.17568918972
26.633774295716,-6559.2115911412
26.7466292715453,-6545.44987563109
26.8594842473746,-6533.41470672053
26.9723392232039,-6529.87374097091
27.0851941990332,-6530.09061862624
27.1980491748625,-6530.4330750368
27.3109041506918,-6529.58306760085
27.4237591265211,-6543.731173214
27.5366141023504,-6551.56506231299
27.6494690781797,-6568.05518495749
27.762324054009,-6583.39411554545
27.8751790298383,-6610.60536895763
27.9880340056676,-6637.60525766513
28.1008889814969,-6663.18159608049
28.2137439573262,-6695.56723596677
28.3265989331555,-6732.90802293118
28.4394539089848,-6776.90818491847
28.5523088848141,-6826.26528313758
28.6651638606434,-6875.06609271879
28.7780188364727,-6930.29083524963
28.8908738123021,-6986.21266483659
29.0037287881314,-7049.94292791881
29.1165837639607,-7115.47973065645
29.22943873979,-7187.85247787903
29.3422937156193,-7258.96556932768
29.4551486914486,-7333.92198493315
29.5680036672779,-7412.99918041788
29.6808586431072,-7497.45922051837
29.7937136189365,-7583.13775418214
29.9065685947658,-7671.78900020242
30.0194235705951,-7764.33667377551
30.1322785464244,-7856.31942675976
30.2451335222537,-7957.38844660487
30.357988498083,-8053.89561108708
30.4708434739123,-8161.71291907501
30.5836984497416,-8271.66471383843
30.6965534255709,-8374.89313559716
30.8094084014002,-8480.66289494082
30.9222633772295,-8596.00812967268
31.0351183530588,-8708.93056035644
31.1479733288881,-8817.83647903103
31.2608283047174,-8933.6924060348
31.3736832805468,-9049.36910156269
31.4865382563761,-9165.56057497462
31.5993932322054,-9278.69368623902
31.7122482080347,-9390.78779292823
31.825103183864,-9509.73058531665
31.9379581596933,-9620.40587579418
32.0508131355226,-9729.31043886066
32.1636681113519,-9839.89897842352
32.2765230871812,-9954.00545458945
32.3893780630105,-10055.2885644946
32.5022330388398,-10158.7201164984
32.6150880146691,-10258.8940047883
32.7279429904984,-10352.8205602283
32.8407979663277,-10454.1199549109
32.953652942157,-10541.6174203686
33.0665079179863,-10621.0322159597
33.1793628938156,-10695.4208313136
33.2922178696449,-10768.348102663
33.4050728454742,-10841.4910910095
33.5179278213036,-10888.3915754684
33.6307827971329,-10939.6211852147
33.7436377729622,-10980.309337724
33.8564927487915,-11013.6461337191
33.9693477246208,-11040.4407270939
34.0822027004501,-11052.3007764737
34.1950576762794,-11066.4771060743
34.3079126521087,-11061.0184586567
34.420767627938,-11054.4498700024
34.5336226037673,-11037.1706371091
34.6464775795966,-11012.2652743639
34.7593325554259,-10985.1828192112
34.8721875312552,-10946.9156240105
34.9850425070845,-10896.5834736674
35.0978974829138,-10855.4729604656
35.2107524587431,-10800.9097089733
35.3236074345724,-10722.6753217845
35.4364624104017,-10666.2555460585
35.549317386231,-10591.3776426247
35.6621723620603,-10514.650648176
35.7750273378896,-10432.9802966464
