"Distance [mm]","Fr [] - Time='0s'"
0,89149.3175265904
0.112854975829305,89182.3063535619
0.22570995165861,89183.5798055639
0.338564927487915,89180.6908888807
0.45141990331722,89177.8067341777
0.564274879146525,89169.4367110531
0.677129854975829,89162.3864050422
0.789984830805134,89154.482725494
0.902839806634439,89143.9264615623
1.01569478246374,89132.0210669936
1.12854975829305,89118.5164398907
1.24140473412235,89102.7617071999
1.35425970995166,89083.608758143
1.46711468578096,89063.3999311505
1.57996966161027,89040.0708654024
1.69282463743957,89014.6266380112
1.80567961326888,88987.0304255334
1.91853458909818,88958.7269151927
2.03138956492749,88926.1499897545
2.14424454075679,88891.855675976
2.2570995165861,88853.6427203561
2.3699544924154,88813.4835699515
2.48280946824471,88770.8440871109
2.59566444407401,88724.3854945217
2.70851941990332,88675.9034761074
2.82137439573262,88626.1245542756
2.93422937156193,88571.3094792414
3.04708434739123,88515.6723682384
3.15993932322054,88455.619599743
3.27279429904984,88393.7291891455
3.38564927487915,88326.8410656639
3.49850425070845,88258.7315216486
3.61135922653776,88184.0052924586
3.72421420236706,88103.9494431559
3.83706917819637,88021.5402205691
3.94992415402567,87938.4574398403
4.06277912985498,87855.2113502737
4.17563410568428,87770.1930280766
4.28848908151359,87678.3519333548
4.40134405734289,87583.6411434827
4.5141990331722,87490.3358913626
4.6270540090015,87392.9912036311
4.7399089848308,87299.1653207852
4.85276396066011,87204.1607732605
4.96561893648941,87105.018219717
5.07847391231872,87009.6834896418
5.19132888814802,86911.2878737037
5.30418386397733,86820.9890783312
5.41703883980663,86725.6962626962
5.52989381563594,86631.0798015018
5.64274879146524,86541.8089816751
5.75560376729455,86457.1368423303
5.86845874312385,86373.3393597707
5.98131371895316,86297.2095023905
6.09416869478246,86227.9802501684
6.20702367061177,86162.7264736332
6.31987864644107,86106.4542706953
6.43273362227038,86057.3439847261
6.54558859809968,86013.4219649682
6.65844357392899,85978.8311043025
6.77129854975829,85955.0642587399
6.8841535255876,85943.5564612293
6.9970085014169,85937.3542694935
7.10986347724621,85934.7306718685
7.22271845307551,85947.8165506725
7.33557342890482,85963.0945738583
7.44842840473412,85985.6219659278
7.56128338056343,86021.7711359111
7.67413835639273,86062.826668648
7.78699333222204,86117.1671451194
7.89984830805134,86180.1263292189
8.01270328388065,86249.7335130051
8.12555825970995,86323.0426855246
8.23841323553926,86404.4887229831
8.35126821136856,86491.835086962
8.46412318719787,86583.9573746259
8.57697816302717,86684.0668801698
8.68983313885647,86792.1436122338
8.80268811468578,86892.6139170067
8.91554309051508,86999.6017444854
9.02839806634439,87111.8078395082
9.14125304217369,87221.8660862792
9.254108018003,87339.7143497909
9.36696299383231,87453.9951393915
9.47981796966161,87572.927622188
9.59267294549091,87685.4325200637
9.70552792132022,87809.5570320528
9.81838289714953,87930.2320421736
9.93123787297883,88045.1657743785
10.0440928488081,88160.7806877804
10.1569478246374,88277.6274685119
10.2698028004667,88397.7297335778
10.382657776296,88514.3162247065
10.4955127521254,88629.649389067
10.6083677279547,88744.2918392071
10.721222703784,88853.1467273043
10.8340776796133,88960.5961277711
10.9469326554426,89061.0224641165
11.0597876312719,89168.1964801422
11.1726426071012,89271.97161052
11.2854975829305,89370.3028909005
11.3983525587598,89473.831044246
11.5112075345891,89562.9275538217
11.6240625104184,89662.0260086569
11.7369174862477,89751.4264087347
11.849772462077,89844.5125660414
11.9626274379063,89926.7452705099
12.0754824137356,90010.0564319445
12.1883373895649,90092.9895233088
12.3011923653942,90180.2124567185
12.4140473412235,90257.6425011663
12.5269023170528,90333.7620907195
12.6397572928821,90407.3645669037
12.7526122687115,90481.642545955
12.8654672445408,90551.3339956297
12.9783222203701,90618.351711599
13.0911771961994,90688.9014914741
13.2040321720287,90750.8022497131
13.316887147858,90810.4615362007
13.4297421236873,90875.8423285563
13.5425970995166,90929.2353965016
13.6554520753459,90971.0534740053
13.7683070511752,91028.5809483935
13.8811620270045,91078.2418013244
13.9940170028338,91117.5645042538
14.1068719786631,91154.9809153208
14.2197269544924,91195.45716587
14.3325819303217,91223.7009030172
14.445436906151,91249.8778627056
14.5582918819803,91263.057193866
14.6711468578096,91264.2711148127
14.7840018336389,91277.7216174939
14.8968568094682,91283.4382285026
15.0097117852975,91284.5731461387
15.1225667611269,91275.2592590215
15.2354217369562,91265.46072896
15.3482767127855,91247.2502583322
15.4611316886148,91219.8325275751
15.5739866644441,91188.0465433118
15.6868416402734,91150.6746986069
15.7996966161027,91093.2081964166
15.912551591932,91038.1080474458
16.0254065677613,90989.9851849458
16.1382615435906,90902.7830239736
16.2511165194199,90826.4610876484
16.3639714952492,90749.6524314024
16.4768264710785,90648.772284025
16.5896814469078,90536.5582795638
16.7025364227371,90397.948886961
16.8153913985664,90274.0219448556
16.9282463743957,90133.6442529799
17.041101350225,89973.9485090843
17.1539563260543,89819.165418042
17.2668113018836,89645.9309659844
17.3796662777129,89450.9542972984
17.4925212535423,89250.0704481682
17.6053762293716,89027.7105600383
17.7182312052009,88793.6728821087
17.8310861810302,88547.9253381906
17.9439411568595,88291.7579379324
18.0567961326888,87998.0999851031
18.1696511085181,87746.2304076573
18.2825060843474,87454.3337048389
18.3953610601767,87110.4363703547
18.508216036006,86781.7923669703
18.6210710118353,86432.8071339289
18.7339259876646,86085.9559076985
18.8467809634939,85714.3034066768
18.9596359393232,85347.7841379702
19.0724909151525,84954.3810633796
19.1853458909818,84576.0595759857
19.2982008668111,84153.1438540513
